id,names,city,state,date,alleged_crime,full_location,longitude,latitude
1,"Paul Hill, Paul Archer, William Archer, Emma Fair",Carrollton,Alabama,"Sept. 15, 1893",Arson,"Carrollton, Alabama",-88.0950263,33.2617871
2,unknown negro,Fannin,Mississippi,"Dec. 23, 1893",Suspected Robbery,"Fannin, Mississippi",-89.9567485,32.4173651
3,Calvin Thomas,Brainbridge,Georgia,"Dec. 25, 1893",Assault,"Brainbridge, Georgia",-84.5754699,30.9037995
4,Tillman Green,Columbia,Louisiana,"Dec. 28, 1893",Attempted Assault,"Columbia, Louisiana",-92.0779129,32.1051567
5,Patrick Wells,Quincy,Florida,"Jan. 26, 1893",Incendiarism,"Quincy, Florida",-84.591058,30.5880468
6,"Frank Harrell, William Filder",Dickery,Mississippi,"Feb. 9, 1893",Incendiarism,"Dickery, Mississippi",-90.61667,33.72861
7,Richard Mays,Springville,Missouri,"Feb. 21, 1893",Attempted Rape,"Springville, Missouri",-93.2922989,37.2089572
8,Dug Hazleton,Carrollton,Georgia,"Aug. 14, 1893",Attempted Rape,"Carrollton, Georgia",-85.0766113,33.5801103
9,Judge McNeil,Cadiz,Kentucky,"Sept. 1, 1893",Attempted Rape,"Cadiz, Kentucky",-87.835295,36.8650496
10,Frank Smith,Newton,Mississippi,"Sept. 11, 1893",Attempted Rape,"Newton, Mississippi",-89.1633929,32.3212554
11,William Jackson,Nevada,Missouri,"Sept. 16, 1893",Attempted Rape,"Nevada, Missouri",-94.3546719,37.8392052
12,Riley Gulley,Pine Apple,Alabama,"Sept. 19, 1893",Attempted Rape,"Pine Apple, Alabama",-86.9910942,31.872651
13,John Davis,Shorterville,Alabama,"Oct. 9, 1893",Attempted Rape,"Shorterville, Alabama",-85.1013186,31.570169
14,Robert Kennedy,Spartansburg,South Carolina,"Nov. 8, 1893",Attempted Rape,"Spartansburg, South Carolina",-81.9320482,34.9495672
15,Richard Forman,Granada,Mississippi,"Feb. 16, 1893",Burglary,"Granada, Mississippi",-89.8084192,33.7690049
16,David Jackson,Covington,Louisiana,"Oct. 14, 1893",Wife Beating,"Covington, Louisiana",-90.1009108,30.4754702
17,Thomas Smith,Roanoke,Virginia,"Sept. 21, 1893",Attempted Murder,"Roanoke, Virginia",-79.9414266,37.2709704
18,four unknown negroes,Selma,Alabama,"Dec. 12, 1893",Attempted Robbery,"Selma, Alabama",-87.0211007,32.4073589
19,Thomas Carr,Kosciusko,Mississippi,"Jan. 30, 1893",Race Prejudice,"Kosciusko, Mississippi",-89.5875764,33.0576295
20,William Butler,Hickory Creek,Texas,"Feb. 7, 1893",Race Prejudice,"Hickory Creek, Texas",-97.0389599,33.114742
21,Charles Tart,Lyons Station,Mississippi,"Aug. 27, 1893",Race Prejudice,"Lyons Station, Mississippi",-90.5300908,34.2340249
22,Robert Greenwood,Cross county,Arkansas,"Dec. 7, 1893",Race Prejudice,"Cross county, Arkansas",-90.8294002,35.2998913
23,Allen Butler,Lawrenceville,Illinois,"July 14, 1893",Race Prejudice,"Lawrenceville, Illinois",-87.6816927,38.7292137
24,two unknown negroes,Knox Point,Louisiana,"Oct. 24, 1893",Thieves,"Knox Point, Louisiana",-92.2573608,32.4956504
25,"Edward Wagner, William Wagner, Samuel Motlow, Eliza Motlow",Lynchburg,Virginia,"Nov. 4, 1893",Alleged Barn Burning,"Lynchburg, Virginia",-79.1422464,37.4137536
26,"Robert Landry, Chicken George, Richard Davis",St. James Parish,Louisiana,"Jan. 21, 1893",Alleged Murder,"St. James Parish, Louisiana",-90.7913227,30.0179292
